time,open,high,low,close
2025-11-13T18:00:00+09:00,103680,103750,102600,102820
2025-11-13T18:15:00+09:00,102840,103150,102670,102960
2025-11-13T18:30:00+09:00,102930,103130,102900,103100
2025-11-13T18:45:00+09:00,103090,103090,102640,102850
2025-11-13T19:00:00+09:00,102850,103060,102850,102870
2025-11-13T19:15:00+09:00,102860,103280,102830,103120
2025-11-13T19:30:00+09:00,103100,103110,102870,102970
2025-11-13T19:45:00+09:00,102950,103030,102940,102950
2025-11-13T20:00:00+09:00,103000,103130,103000,103090
2025-11-13T20:15:00+09:00,103100,103120,102930,102930
2025-11-13T20:30:00+09:00,102940,102980,102760,102980
2025-11-13T20:45:00+09:00,102990,103060,102930,103000
2025-11-13T21:00:00+09:00,102960,103160,102790,102940
2025-11-13T21:15:00+09:00,102940,102980,102940,102960
2025-11-13T21:30:00+09:00,102960,103270,102950,103180
2025-11-13T21:45:00+09:00,103150,103260,103110,103160
2025-11-13T22:00:00+09:00,103110,103120,102940,102940
2025-11-13T22:15:00+09:00,102960,102960,102450,102580
2025-11-13T22:30:00+09:00,102550,102670,102220,102550
2025-11-13T22:45:00+09:00,102520,102670,102310,102380
2025-11-13T23:00:00+09:00,102360,102550,102220,102220
2025-11-13T23:15:00+09:00,102250,102560,102170,102470
2025-11-13T23:30:00+09:00,102500,102620,101820,101910
2025-11-13T23:45:00+09:00,101890,103500,101880,102990
2025-11-14T00:00:00+09:00,102960,102960,102160,102900
2025-11-14T00:15:00+09:00,102910,103040,102170,102310
2025-11-14T00:30:00+09:00,102210,102210,101650,101650
2025-11-14T00:45:00+09:00,101640,101640,101330,101470
2025-11-14T01:00:00+09:00,101510,101610,101160,101250
2025-11-14T01:15:00+09:00,101290,101350,100820,101110
2025-11-14T01:30:00+09:00,101120,101500,100960,100970
2025-11-14T01:45:00+09:00,101010,101230,100600,100690
2025-11-14T02:00:00+09:00,100670,100860,100550,100630
2025-11-14T02:15:00+09:00,100690,100850,100290,100440
